Program Number,Program Name,Budget Request Documentation Section Content
4002,Building Maintenance,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program is responsible for the health and safety-related maintenance, operation, and repair of over 850 City-owned or leased buildings."
4003,Construction Forces,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program performs remodeling, minor and major repairs, construction, and alterations and improvements at City-owned facilities._x000D_
"
4004,Real Estate Services,"Priority Outcome: Make Los Angeles the best run big city in America _x000D_
This program manages the City's real estate portfolio with services that include appraisals, title reports, sales and acquisitions, surplus property auctions, management of City-owned real property, and nuisance abatement. This program also manages leasing functions, conducts space planning and relocations, and maintains database of City-owned and leased properties."
4005,Parking Services,"Priority Outcome: Make Los Angeles the best run big city in America. _x000D_
This program operates employee and commercial parking facilities including lots and garages for client departments such as Transportation, Recreation and Parks, El Pueblo, and the Library. This program also manages the Visitor Reservation Parking Program at all Downtown and Valley Civic Center facilities."
4007,Emergency Management and Special Services,"Priority Outcome: Ensure our communities are the safest in the nation_x000D_
This program administers the Emergency Response Program, Citywide Building Emergency Education Program and Access Management and Badging Program, coordinates events and filming activities, and facilitates equipment and event planning in support of elected officials, departments, and the community."
4008,Fleet Services,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program purchases, maintains, and performs required safety inspections on the City's fleet of vehicles and equipment for all Council-controlled departments and aircraft for the Los Angeles Police Department, Los Angeles Fire Department, and Department of Water and Power. This program also oversees a number of motor pool operations."
4009,Fuel and Environmental Compliance,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program manages the City's alternative fuel infrastructure program, acquires various petroleum products for Council-controlled departments, maintains fueling systems, and supports environmental compliance."
4010,Standards and Testing Services,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides quality control, quality assurance, and acceptance testing services. It also provides research and verification testing of new proposed construction materials for various City departments in the major fields of design, construction, and environmental control. _x000D_
"
4011,Supply Management,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program establishes contracts and oversees annual purchasing transactions for all Council-controlled departments, processes vendor payments, disposes of salvage equipment and materials, and manages warehousing and distribution of supplies and equipment through City warehouses. _x000D_
"
4012,Mail Services,"Priority Outcome: Make Los Angeles the best run big city in America _x000D_
This program sorts, delivers, and processes internal and outgoing business mail for all City departments using technology such as barcoding to reduce the City's postage costs."
4050,General Administration and Support,"This program performs management and administrative support functions such as budget, accounting, administrative, and systems support services."
4301,Finance and Development,"Priority Outcome: Create a more livable and sustainable city._x000D_
This program provides affordable housing and tax-exempt bond financing, including Proposition HHH bond financing, and provides professional services to support rehabilitation and/or new construction of affordable and permanent supportive multi-family housing units. This program also ensures compliance with local, state, and federal regulations."
4302,Affordable Housing Asset Management,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides loan servicing and management of the City's affordable housing loan portfolio and ensures revenue generation, which represents a significant portion of the Department's income and also supports Citywide grant activities. The program also monitors property management of affordable housing units for compliance with affordability covenants pursuant to federal, state, and local requirements."
4304,Strategic Planning and Policy Development,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program includes the Grant Administration Unit, which reports on the City's fulfillment of grant requirements; the Planning Unit, which develops the City's Five-Year Housing and Community Development Consolidated Plan and the Annual Action Plans; and the Neighborhood Improvement Unit, which implements CDBG-funded capital projects, including acquisition, renovation, and construction of City or nonprofit-owned properties."
4305,Rent Stabilization,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program administers and enforces the Rent Stabilization Ordinance (RSO) by processing the registration of multi-family rental units and landlord applications for rent adjustments and no-fault evictions, issuing determinations on properties subject to the RSO and RSO exemptions, and investigating complaints regarding the RSO. In addition, this program provides education, workshops, and referrals for landlords and tenants about the RSO and other housing matters."
4306,Multi-family Residential Code Enforcement,"Priority Outcome: Create a more livable and sustainable city _x000D_
This program provides systematic and compliant-based habitability inspections of multi-family residential properties with two or more rental units. The program is supported by a fee assessed to property owners of multi-family residential buildings._x000D_
"
4307,Code and Rent Compliance,"Priority Outcome: Create a more livable and sustainable city_x000D_
The Code and Rent Compliance Program provides a variety of services that contribute to providing safe and habitable rental housing through the implementation of the Rent Escrow Account Program, Utility Maintenance Program, and Legal case preparation.  The program also bills for and collects fees related to over 150,000 rental properties citywide."
4308,Executive Management,"As a result of the realignment of resources to reflect the Department's current organizational structure, positions and funding in this budgetary program have been transferred to the General Administration and Support program."
4309,Administrative Services,"As a result of the realignment of resources to reflect the Department's current organizational structure, positions and funding in this budgetary program have been transferred to the General Administration and Support program."
4310,Commissions and Community Engagement,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides administrative support to the Human Relations Commission, Affordable Housing Commission, Commission on the Status of Women, Commission on Community and Family Services, Community Action Board, and Transgender Advisory Council, and serves as policy advisor in the advancement of their respective missions.  This program also identifies racial and gender equity issues, provides policy assessments, and designs outreach tools to facilitate working with City departments and communities throughout the city."
4311,Monitoring and Technical Services,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program oversees the delivery of services funded from grants including the Community Development Block Grant, Housing Opportunities for Persons with HIV/AIDS, the Emergency Solutions Grant which is administered through the Los Angeles Homeless Services Authority, and the Community Services Block Grant. The services include counseling and case management, rental housing subsidies, social and supportive services, minor home repairs, neighborhood improvement construction, workshops for traffic safety and compliance with safety restraint laws, homeless services and prevention, and program and grant management."
4312,Housing Strategies and Services,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program conducts research and implements various programs to support stable and healthy neighborhoods in the City.  Specifically, this program implements the (1) Handyworker Program to assist seniors and the disabled, (2) Lead Program to mitigate lead-based paint hazards, (3) Low Income Purchase Assistance Program to create homeownership opportunities for low income families, (4) Neighborhood Stabilization Program to reverse the negative impacts of foreclosure and abandoned properties, and (5) Dispositions Program to redevelop vacant and/or under-utilized properties into affordable housing.  Additionally, this program nurtures and launches new strategies, partnerships, and financial models to advance affordable housing preservation and production in the City."
4349,Technology Support,"This program developments, maintains, and supports the information systems and technology infrastructure for the entire Department."
4350,General Administration and Support,"This program provides department-wide administrative services, including executive management, budget development, accounting and financial services, personnel administration, and administration of the Accessible Housing Program. The Accessible Housing Program is mandated by a settlement agreement to ensure persons with disabilities have access to the City's affordable housing programs and that 4,000 units are made fully accessible over the term of the agreement."
4401,Branch Library Services,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides public services at the 72 Branch Libraries, including: reference and information service, free public access computers, programs for children, teens, and adults, and circulation of library materials such as books, DVDs, CD music, audio books and magazines._x000D_
"
4402,Central Library Services,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides public services at the Central Library, including: reference and information service, free public access computers, programs for children, teens, and adults, and circulation of library materials such as books, DVDs, CD music, audio books and magazines._x000D_
"
4403,Engagement and Learning Services,"This program develops monitors, coordinates and evaluates Library programs and services for the entire Library Department including Volunteer Services, Homeless Engagement, Adult Services, Young Adult Services, Children's Services, Adult Literacy, Veteran Engagement, Financial Literacy, Career Online High School, Immigrant Integration, and Mobile Outreach."
4449,Technology Support,"This program develops and maintains the library's public service website, IT systems, and web-based resources and services and is responsible for the acquisition, cataloging and processing of all library materials and electronic resources."
4450,General Administration and Support,"This program is responsible for providing administrative support functions of policy direction, business management, accounting, personnel, and public relations."
4601,Office of the Mayor,"The Mayor is the executive officer of the City, and exercises supervision over all of its affairs. The Mayor submits proposals and recommendations to the Council, approves or vetoes ordinances passed by the Council, and is active in the enforcement of the ordinances of the City."
4701,Neighborhood Council System Development,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides educational and operational support for Neighborhood Council leaders to build and maintain the Neighborhood Council system's capacity to increase civic participation and make government more responsive to local community needs."
4702,Neighborhood Council Funding Program,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program oversees the Neighborhood Council Funding Program by processing payments, reviewing Monthly Expenditure Reports (MERs), and auditing expenditures of the Neighborhood Councils to ensure that Neighborhood Councils manage public funds in a responsible and fiscally sound manner. This function is being transferred to the Office of the City Clerk effective July 1, 2016."
4703,Planning and Policy,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program conducts planning, research, development, and implementation of effective Departmental policies to promote civic participation and effective Neighborhood Council practices while also supporting the work of the Board of Neighborhood Commissioners, Congress of Neighborhoods, and Neighborhood Council Budget Advocates."
4704,Neighborhood Council Administrative Support,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program is responsible for the development of the Department's outreach and communication services to promote the Neighborhood Council system citywide and within City government, and assist Neighborhood Councils in their outreach, elections, and communications strategies."
4750,General Administration and Support,"This program provides management and administrative support including: fiscal oversight; accounting; budget development, implementation, and control; purchasing; payroll; California Public Records Act requests; and contracting and leasing services for the Department and Neighborhood Councils."
4803,Convention and Tourism Development,"Priority Outcome: Promote good jobs for Angelenos all across Los Angeles_x000D_
This program attracts and hosts conventions at a world class facility with world class service and drives economic development and job creation by marketing the City's unique cultural, sports, entertainment, and leisure attractions."
6501,ADA Compliance,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program oversees the City's compliance with the Americans with Disabilities Act (ADA) and provides training and technical assistance for compliance with disability law through its Community Outreach Resource Center, Braille and sign language interpretation (SLI) services, computer assistance real-time transcription (CART), Section 504 of the Rehabilitation Act on the rights of people with disabilities assistance, and management of federal and state grants._x000D_
"
6502,Computerized Information Center For the Disabled,"As a result of the realignment of resources to reflect the Department's current organizational structure, positions and funding in this budgetary program have been transferred to Community Affairs and Outreach."
6503,Community Affairs and Outreach,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program conducts the Department's community outreach and education functions, coordinates the City's disability-related events, provides information and referrals, and oversees the Department's emergency preparedness and internal and external communications."
6504,AIDS Coordinator's Office,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program develops and supports programs and policies that prevent the transmission of HIV, and improves the quality of life for people living with HIV/AIDS through HIV testing, outreach, health education, risk reduction, and syringe collection and disposal services."
6550,General Administration and Support,"This program performs management and administrative support including policy development, implementation and control; budget; and operational planning."
6601,Public Safety Employment,"Priority Outcome: Ensure our communities are the safest in the nation _x000D_
This program manages the recruitment and selection of qualified police and fire entry-level candidates; conducts sworn promotional exams; conducts civilian public safety-related entry-level and promotional exams; conducts comprehensive background investigations; administers the background disqualification appeal process; administers application and examination protests and appeals; performs test validation studies and implements the findings; determines appropriate classifications and levels of positions; generates Civil Service eligible lists and certifies candidates; and, ensures that City departments have a sufficient pool of qualified and diverse public safety candidates from which to select."
6602,Employee Selection,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program creates job classifications and class specifications; allocates positions; recruits and examines for civilian employment through the dissemination of employment opportunity information for employees and the general public, including entry-level and promotional opportunities; maintains a sufficient pool of qualified and diverse candidates; certifies eligible lists for appointment consideration; performs background investigations; handles examination protests and appeals; ensures compliance with federal and state employment law, City Charter provisions, Civil Service Rules, and City Personnel Policies; and maintains Civil Service folders and records."
6603,Workers' Compensation and Safety,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program manages the City's self-insured workers' compensation program for all City employees (excluding those of the Department of Water and Power) and partners with the Occupational Health and Safety groups to develop customized loss control strategies for departments experiencing increased accident and injury rates through enhanced safety and accident prevention techniques."
6604,Employee Benefits,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program oversees and administers three benefits programs for City employees: (1) Health and Welfare Benefits funded through the Human Resources Benefits budget: Civilian Flex Program (medical, dental, life, disability, accidental death and dismemberment, employee assistance, flexible spending accounts), catastrophic illness leave plans, Affordable Care Act implementation, and unemployment insurance program; (2) Retirement Savings Plans: the Deferred Compensation Plan, a supplementary retirement savings plan for City employees and the Pension Savings Plan, a mandatory retirement savings plan for the City's part-time, seasonal, and temporary employees; and (3) Commute Options and Parking: Transit Subsidy Reimbursement Program, Vanpool Program, Carpool Program, transit spending accounts, and employee parking."
6605,Occupational Health,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program evaluates employees to maintain a safe and healthy workforce; assists City departments in preventing and resolving safety and health issues; directs departments in control factors affecting employee safety, which includes compliance with Cal/OSHA regulations, work fitness evaluations, commercial driver license examinations, drug and alcohol testing, and pre-placement physical and psychological examinations."
6606,Custody Medical Care,"Priority Outcome: Ensure our communities are the safest in the nation_x000D_
This program provides medical care 24 hours per day, seven days a week to City detainees in compliance with the minimum standards for local detention facilities, including conducting screening and evaluations and providing medical care of injuries and illnesses at three designated City jails. Detainees are transferred from City jails in collaboration with law enforcement when they are in need of a higher level of care than can be offered in the dispensaries. This program also oversees the external medical service agreements that are in place for those transferred to other facilities."
6607,Equal Employment Opportunity,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program administers and monitors the City's Equal Employment Opportunity programs; investigates and resolves employment discrimination complaints filed by City employees and applicants to City employment; and investigates complaints on behalf of the Board of Civil Service Commissioners."
6608,Employee Training and Development,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program is designed to meet the City's workforce development challenges by providing programs to enhance the workforce, encourage learning and innovation, and promote career development."
6609,Liaison Services,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides centralized human resources support for 23 City departments. Responsibilities include assisting with succession planning; employee recruitment, selection, development, evaluation, and resolution of staffing issues; employee engagement, measurement, and intervention; advising on MOU and employee relations issues; coordinating and preparing discipline cases; advising and responding to case law and proposed legislation affecting Civil Service employment; advising on Civil Service Rules and City Charter employment provisions; and responding to employee grievances."
6650,General Administration and Support,"This program provides administrative support including fiscal management, payroll, accounting, contracts, information technology, HRSTAT coordination, and personnel services; prepares and administers the Department's budget, while providing accurate and timely processing and reporting on financial, contractual, and personnel issues; implements and provides ongoing support requirements for computer systems, and enhances all department functions through technology development, implementation, and support."
6801,Citywide Planning,"Priority Outcome: Create a more livable and sustainable city _x000D_
This program develops and maintains the City's General Plan (except the Community Plans), updates and implements housing, health, transportation, and environmental policies and regulation, and performs research, analysis, and updates of the Zoning Code._x000D_
"
6802,Community Planning,"Priority Outcome: Create a more livable and sustainable city _x000D_
This program prepares, updates, and maintains the City's 35 Community Plans that collectively constitute the required Land Use Element of the City's General Plan."
6803,Historic Resources,"Priority Outcome: Create a more livable and sustainable city _x000D_
This program identifies, designates, and promotes the preservation of historically and culturally significant properties in the City. This program also develops historic preservation policies."
6804,Development Services,"Priority Outcome: Promote good jobs for Angelenos all across Los Angeles _x000D_
This program provides a full range of pre- and post-entitlement development consultation to properly advise applicants on the development path; serves as the point of entry for all discretionary land use applications; conducts technical research and troubleshoots problematic projects; and manages and monitors condition compliance."
6805,Neighborhood Initiatives and Transit Oriented Planning,"Priority Outcome: Create a more livable and sustainable city _x000D_
This program provides targeted neighborhood plans to address more localized land-use issues and challenges through Specific Plans, zoning overlays, transportation plans, streetscape plans, and other planning tools. This program also prepares transit-oriented plans in conjunction with other transportation agencies using grant funds."
6806,Geographic Project Planning,"Priority Outcome: Promote good jobs for Angelenos all across Los Angeles _x000D_
This program, organized by geographic units, is responsible for the processing of all discretionary land use entitlement applications, reviewing them for compliance with applicable policies and plans and issuing a letter of determination for all Director of Planning determinations, Office of Zoning Administration functions, subdivision of land applications, and entitlements that require Commissions and Council consideration. Review and documentation for projects requiring review pursuant to the California Environmental Quality Act (CEQA) is a major function within the project planning program."
6807,Major Projects and Project Plan Support,"Priority Outcome: Promote good jobs for Angelenos all across Los Angeles _x000D_
This program processes large scale developments, zoning administration, subdivision, and City Planning Commission cases as well as the associated environmental analysis including Environmental Impact Reports and Development Agreements.  This program includes the Expedited Processing Section for the Department which provides the public with a faster alternative for processing entitlement applications.  This program also provides design guidelines, standard operating procedures for all project planning functions, and training for Department staff, Planning Commissions, Neighborhood Councils, City Council, and the Mayor's Office."
6849,Technology Support,This program coordinates and implements efficient technology solutions in support of the Department's business needs.
6850,General Administration and Support,"This program provides department-wide management in budget development, budget implementation, general administration, fiscal services, procurement and contracting, human resource management, record management, and facility management services.  Additionally, this program oversees the coordination of Commission meetings and provides direct staff support for operating programs."
7001,Field Forces,"Priority Outcome: Ensure our communities are the safest in the nation_x000D_
This program provides for the prevention, suppression, and investigation of crime through highly visible vehicular and foot patrol activities based in the Department's 21 Geographic Areas.  This program will also provide security services on bus and rail lines within the City through a contract with the Los Angeles County Metropolitan Transportation Authority."
7003,Specialized Investigation,"Priority Outcome: Ensure our communities are the safest in the nation_x000D_
This program prevents and solves crime through a variety of crime-specific divisions and specialized techniques and equipment, including gang and narcotics, scientific and vice investigative services."
7004,Custody of Persons and Property,"Priority Outcome: Ensure our communities are the safest in the nation_x000D_
This program provides legal custody of persons and property involved in criminal activity._x000D_
"
7005,Traffic Control,"Priority Outcome: Ensure our communities are the safest in the nation_x000D_
This program maintains a safe flow of traffic and prevents or reduces the number of traffic accidents through priority enforcement.  This program also investigates traffic accidents and traffic crimes._x000D_
"
7006,Specialized Enforcement and Protection,"Priority Outcome: Ensure our communities are the safest in the nation_x000D_
This program suppresses crime and provides protection to specific City facilities or persons through a variety of crime-suppression or protection specific divisions and specialized techniques and equipment, including air support, equine, special weapons and tactics, and security services."
7047,Personnel Training and Support,"This program provides support and training, including policies implemented as a result of Consent Decree-mandated training, for all Department employees through employment services and in-service training; and administers recruiting, selection and training of new employees."
7048,Departmental Support,"This program supports Police Commission and Department operations through behavioral science, centralized information relay, communication services, fiscal operations, facilities management, fleet services, legal affairs, police records management, statistical data reports, supplies, and transportation."
7049,Technology Support,"This program supports all information technology systems and equipment used throughout the Department and includes systems development, implementation, and support; hardware and software purchase, installation, and maintenance; and systems coordination, information security, and connectivity with other law enforcement agencies."
7050,General Administration and Support,"This program controls, directs and supports all Department activities; monitors and inspects the execution of Department policies, procedures, and plans and ensures adherence to memorandums of understanding, policies and orders; and administers the Department's community-relations programs and community affairs."
7051,Internal Integrity and Standards Enforcement,"This program provides oversight of the Department; ensures that sworn and civilian employees act with honesty, integrity, dignity and respect towards the public; and ensures that the Department continues to meet all mandated responsibilities under the Federal Consent Decree with the U.S. Department of Justice, which was lifted in July 2009."
7401,Office of Community Beautification,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program beautifies the City through graffiti removal, litter cleanup and weed removal; greenery planting; community beautification clean-up events; and other programs including adopt-a-median, adopt-a-basket, and the paint bank. This program empowers communities with resources and partnership opportunities to beautify their neighborhoods."
7402,Project Restore,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program oversees the restoration and preservation of historic City-owned facilities and other special projects, as well as day-to-day operations, including design, project management, contract administration, fundraising, grant writing, budget, procurement, and accounting."
7403,Public Works Accounting,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides day-to-day accounting and financial services for the Department of Public Works, including capital programming and budgeting, fee and cost recovery, general and cost accounting, and special funds and projects accounting."
7405,Public Works Board and Board Secretariat,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides overall management, direction, administrative control, and transparency of process to the public for the Department of Public Works.  This program also oversees the bid and award process of construction contracts."
7406,Petroleum and Natural Gas Administration and Safety,"Priority Outcome: Ensure our communities are the safest in the nation._x000D_
This program provides for the administration of pipeline and electric utility franchises, and fulfills the role of petroleum administrator for the City._x000D_
"
7449,Public Works Financial Systems,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program creates and maintains financial systems to efficiently manage financial processes within the Department of Public Works."
7601,Construction Inspection,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program administers contracts and permits for construction of public works projects such as streets, bridges, sewers, storm drains, street lights, traffic signals, wastewater treatment facilities, and public buildings through inspection at sites and in plants engaged in manufacturing related construction materials. The activities include approving and processing payment for work acceptably completed; recommending acceptance of completed public improvement projects; approving subcontractors; and maintaining the legal record of construction. The program also provides inspection for recreation and parks projects and airport, port, utilities, and wastewater treatment facilities, and the installation of erosion control devices whenever grading operations create a hazard to dedicated and future streets within the City.  It also provides inspection for private development work encroaching in the public right-of-way."
7602,Contract Compliance,"Priority Outcome: Promote good jobs for Angelenos all across Los Angeles_x000D_
This program ensures that contractors performing under City-awarded contracts comply with City, state and federal requirements relating to affirmative action; equal employment opportunity; prevailing wage; minimum wage; paid sick leave; fair chance initiative for hiring; business inclusion for minority, women, small, emerging, local, disabled veteran, federal disadvantaged, and other business enterprises; project labor agreements; and other labor regulations through outreach, monitoring, and enforcement activities."
7650,General Administration and Support,"This program provides management and administrative support including budget development, fiscal monitoring, records management, personnel administration, and systems and clerical support."
7803,Clean Water Infrastructure,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides the following services: Design and construction of wastewater and sewage disposal facilities, stormwater drainage systems and facilities, and emergency sewer and storm drain repair response services."
7804,Development Services and Permits,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides fee-supported permits and pre-development and engineering services to private developers that are primarily related to infrastructure improvements within the public right-of-way, which are conditions of approval for development projects. Additional services include utility permits; private plan checking; public counter services; and land, aerial, topographic, geodetic, and global positioning system (GPS) surveys and maps."
7805,Mobility,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides the following services: Design and construction of street improvements, regional transportation improvements, bridges, streetscapes, grade separations, and retaining walls."
7807,Public Buildings and Open Spaces,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides design and construction services for new and existing public buildings and open spaces. This includes sustainable design; modern, historic, and renovation architectural services; interior space planning; landscape architecture; parks and recreational facility design and construction; and urban design."
7850,General Administration and Support,This program provides management and administrative support functions including Bureau management and administration and other ancillary or support activities which cannot be attributed to an operating program.
8201,Watershed Protection,"Priority Outcome: Create a more livable and sustainable city _x000D_
This program is the lead division responsible for managing flood control protection and stormwater pollution abatement programs for the City. This is accomplished through development and implementation of projects to comply with public health and stormwater regulatory requirements. This program is charged with this responsibility under the legal mandate of the Federal Clean Water Act. Each county and municipality throughout the nation is issued a National Pollutant Discharge Elimination System (NPDES) Municipal Stormwater Permit, which regulates the treatment and abatement of stormwater discharges from large municipal storm drain systems.  The NPDES Permit also enforces Total Maximum Daily Loads (TMDL) requirements, which limit the maximum amount of a pollutant that a water body can receive and still meet water quality standards."
8202,Clean Water,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program is comprised of wastewater collection, conveyance, treatment, and disposal. The City's wastewater system serves over 4 million people with approximately 6,700 miles of pipeline. The Hyperion Water Reclamation Plant and Terminal Island Water Reclamation Plant (TIWRP) process 370 million gallons of flow per day (MGD) providing full secondary treatment.  TIWRP performs additional tertiary treatment resulting in Class A biosolids products that are beneficially land-applied at a Bureau-owned Kern County farm. The Donald C. Tillman and Los Angeles-Glendale Reclamation Plants process 75 MGD of wastewater to provide 16 MGD of specially treated reclaimed water used by a number of contract users._x000D_
"
8203,Solid Resources,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program includes the collection, recycling, and disposal of solid waste, green waste, and other solid resources materials for single-family residences and small apartment complexes city-wide, and manages contracted recycling programs for apartments and commercial and industrial businesses.  It provides for the proper recycling and disposal of household hazardous waste via Solvent, Automotives, Flammables, and Electronics (SAFE) Centers, bulky item pick-ups, and conducts the necessary planning and development of long-term alternatives to landfill disposal and for clean fuel programs related to solid waste."
8204,Environmental Quality,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program addresses emerging and existing environmental quality activities and programs that intersect with the Bureau's other core budgetary programs.  This program includes the Bureau's Climate Change, Clean Streets Initiative, Clean Up Green Up, and Operation Healthy Street programs for the Skid Row and Venice areas.  The General Fund is the major funding source for this program as this work has general citywide benefits and is not an eligible expenditure for the Bureau's various special funds."
8249,Technology Support,"This program provides information technology and the technical management and support for all the automated systems. Systems are used in the stormwater, wastewater treatment and conveyance, solid resources programs, and for financial and administration support.  Information technology includes management of over 2,200 personal computers, three data centers, and complex networks.  The program includes management of over 60 applications ranging from Geographic Information Systems (GIS) and work order systems, service request systems used by the call center, industrial process control systems, and environmental and regulatory compliance systems."
8250,General Administration and Support,"This program provides for management and administrative support functions, including Bureau and division administration, planning, and administrative services.  It is comprised of two divisions - Administration and Financial Management.  The Administration Division is responsible for providing support for all divisions at worksites and centralized services in these areas: purchasing, payroll, personnel, and specific centralized expenses.  The Financial Management Division provides services related to tracking and reporting of expenditures to various regulatory agencies for Sanitation's annual operating budget."
8401,Design and Construction,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program designs and constructs new lighting systems, rehabilitates and replaces deteriorated lighting systems, and supports other departments and agencies with their street lighting designs. These street lighting improvements are all designed according to nationally accepted standards which increase the safety for all the residents in the City. This program promotes regional public spaces that enhance economic development, streetscapes, and walkability. Lit areas create a safe and inviting atmosphere for shoppers, diners, cyclists, and transit users, which can have a positive economic impact on a community."
8402,"System Operation, Maintenance, and Repair","Priority Outcome: Ensure our communities are the safest in the nation_x000D_
This program is responsible for the maintenance, repair, and operation of more than 210,000 streetlights in the City of Los Angeles, providing construction support for various street lighting projects, overseeing fleet coordination and warehouse activities, and coordinating with engineering for testing and equipment evaluations. This program ensures that street lights are effectively lighting roads to enhance public safety."
8403,Street Lighting Assessment,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program is responsible for coordinating and processing street lighting maintenance assessments for over 550,000 parcels, preparing ordinances, ballots, and mapping to create new assessment districts on an annual basis. Assessments provide funding needed to install, power, and maintain street lights to ensure safe communities and livable neighborhoods."
8450,General Administration and Support,"This program provides executive, technical, and administrative support. General administrative support includes budget preparation, finance and accounting, and clerical support. Technical program support includes information technology support for all engineering and field operations, maintenance of the street lighting mapping system, asset maintenance system, outage applications, and as-built street lighting projects."
8601,"Weed Abatement, Brush, and Debris Removal","Priority Outcome: Create a more livable and sustainable city_x000D_
This program enforces private property weed abatement regulations for unimproved parcels of land outside the ""Very High Fire Severity Zone"" to minimize fire, health, and safety hazards."
8602,Investigation and Enforcement,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program enforces various codes, statutes, and ordinances concerning the use of public streets, parkways, and sidewalks for safety, health, and welfare of the public._x000D_
_x000D_
_x000D_
"
8603,Street Sweeping,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program involves the scheduled and emergency motor sweeping of improved roadways to maintain clean and aesthetic conditions, and protect the environment by reducing storm drain contamination and air pollution. _x000D_
_x000D_
"
8604,Street Tree and Parkway Maintenance,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program plants, trims, and maintains trees, plants, and shrubs in dedicated streets, parkways, and other public ways to enhance safety, visibility, and public health."
8605,Maintaining Streets,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program keeps the roadway surface, concrete curbs, and associated structures in a good condition by performing minor repairs to roadways, concrete curbs, gutters, alleys, storm drains, and unimproved roadways.  It also provides inspection and enforcement of private property weed abatement regulations for unimproved parcels of land outside the ""Very High Fire Severity Zone"" to minimize fire, health, and safety hazards._x000D_
_x000D_
_x000D_
"
8606,Pavement Preservation,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program maintains roadways by applying slurry seal or returns the road to a good condition by resurfacing with asphalt. The Bureau's Pavement Management System maintains an updated database of road surface conditions._x000D_
_x000D_
_x000D_
"
8607,Street Improvement Construction,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program builds streetscape improvements that enhance safety, accessibility, mobility, and community satisfaction, including curb ramps, sidewalks, pedestrian and bike facilities, bus landing facilities, hardscaping and landscaping._x000D_
_x000D_
"
8608,Street Improvement Engineering,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program designs streetscape improvements that enhance safety, accessibility, mobility, and community satisfaction, including curb ramps, pedestrian and bike facilities, bus landing facilities, hardscaping and landscaping. It also reviews Metro plans for transit and highway projects along with other city departments. _x000D_
"
8650,General Administration and Support,"This program involves the control and management of the internal affairs and activities necessary to maintain streets and related improvements.  It includes Bureau administration, research and planning, application of time standards, training, and clerical and administrative support."
